,Uniq Id,Crawl Timestamp,Average_Salary,Average_Experience,fun_0,fun_1,fun_2,fun_3,fun_4,fun_5,skill_0,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,role_cat_0,role_cat_1,role_cat_2,ind_0,ind_1,ind_2,ind_3,role_0,role_1,job_0,job_1,job_2,loc_0,loc_1,loc_2,loc_3
0,7b921f51b5c2fb862b4a5f7a54c37f75,2019-08-05 15:31:56+00:00,300000.0,2.5,IT Software - Application Programming , Maintenance,,,,,Technical Support,,,,,,,,,,Admin,Maintenance,Security,IT-Software, Software Services,,,Technical Support Engineer,,Technical Support,,,Mumbai,,,
1,c9628ea8d9cfd2ca72e14d53783aca90,2019-08-05 03:59:27+00:00,1200000.0,6.0,IT Software - Application Programming , Maintenance,,,,,adobe experience manager, digital, digital marketing, adobe analytics, data analytics, aem, adobe, sitecatalyst,,,Programming & Design,,,IT-Software, Software Services,,,System Analyst,,Opening For Adobe Analytics Specialist,,,Pune,,,
2,2008eb365fa0ebcb1ccd9a50efc3da49,2019-07-06 09:20:22+00:00,250000.0,0.0,Sales , Retail , Business Development,,,,channel partners, real estate, negotiation, property, Residential Sales,,,,,,Retail Sales,,,Real Estate, Property,,,Sales Executive,Officer,Sales- Fresher-for Leading Property Consultant,,,Bengaluru,,,
3,823c36988178cf5c9a6a34e4fc75d4e0,2019-08-05 17:37:44+00:00,3000000.0,7.5,Strategy , Management Consulting , Corporate Planning,,,,secretary, executive assistant, ea,,,,,,,,Corporate Planning,Consulting,Strategy,Courier, Transportation, Freight , Warehousing,Corporate Planning,Strategy Manager,Executive Assistant To Chairman,,,Mumbai,,,
4,d3fac027fd78efae29c1f9394a6cd576,2019-07-04 20:06:22+00:00,425000.0,3.0,Marketing , Advertising , MR , PR , Media Planning,,digital marketing, seo, social media marketing, content marketing, email marketing, sem, google analytics, campaign management, facebook, media management,Online,Digital Marketing,,Advertising, PR, MR, Event Management,Social Media Marketing Manager,,Looking Facebook ,social Media Manager For our Digital Marketing Ageny,,Gurgaon,,,
5,4740f30cacc84382a30c6fc714dcfa94,2019-07-04 04:24:54+00:00,212500.0,5.0,Financial Services , Banking , Investments , Insurance,,,sales manager, business development manager, relationship manager, brokers, insurance sales, channel sales, direct sale, direct marketing, sales, Marketing Executive,Retail,Personal Banking,,Insurance,,,,Sales Officer,,Job Openings Kotak Life, Max Life, Aditya Birla Health for Sales Mgr,Bhilai/Bhillai,Bhilwara,Bhopal,Bhubaneshwar
6,11fe465851f01db5ffcbf801fb168396,2019-07-05 02:10:13+00:00,350000.0,2.0,Sales , Retail , Business Development,,,,lead generation, business development, corporate sales,,,,,,,,Retail Sales,,,IT-Software, Software Services,,,Sales,Business Development Manager,Business Development , Corporate Sales,,Delhi NCR,,,
7,498a81dbb1966dc3b032dcd54dea2e61,2019-07-05 02:39:32+00:00,250000.0,3.5,IT Software - QA & Testing,,,,,,QA Executive,,,,,,,,,,QA,Testing,Documentation,Pharma, Biotech, Clinical Research,,Quality Assurance,Quality Control Executive,QA Executive,,,Hyderabad,,,
8,fedc5a266bab46f33edbacb31d829682,2019-08-04 11:37:08+00:00,300000.0,4.0,IT Software - Application Programming , Maintenance,,,,,Articulate Storyline,,,,,,,,,,Programming & Design,,,Animation, Gaming,,,Graphic,Web Designer,Opening For Articulate tool Developer - Articulate , Captivate)chennai,,Chennai,,,
9,abdbc6f537cd332271e6f4d5be88f4a4,2019-08-05 01:39:26+00:00,250000.0,2.5,ITES , BPO , KPO , LPO , Customer Service , Operations,fixed assets, accounts payable, record to report, general accounting, general ledger,,,,,,Voice,,,BPO, Call Centre, ITeS,,Associate,Senior Associate -(NonTechnical),Hiring For Record To Report,,,Gurgaon,Noida,,
