State,State Abbr,Ba Or Higher,Obesity %
Alabama,AL,22.3,32.2
Alaska,AK,25.5,24.5
Arizona,AZ,28,24.3
Arkansas,AR,18.8,30.1
California,CA,31.7,24
Colorado,CO,35.5,21
Connecticut,CT,34.5,22.5
Delaware,DE,26.9,28
District of Columbia,DC,45.7,22.2
Florida,FL,26,26.6
Georgia,GA,27.6,29.6
Hawaii,HI,26.6,22.7
Idaho,ID,23.8,26.5
Illinois,IL,27.4,28.2
Indiana,IN,21.1,29.6
Iowa,IA,24.3,28.4
Kansas,KS,30,29.4
Kentucky,KY,21,31.3
Louisiana,LA,22.4,31
Maine,ME,24.2,26.8
Maryland,MD,35.2,27.1
Massachusetts,MA,36.7,23
Michigan,MI,24.4,30.9
Minnesota,MN,32.5,24.8
Mississippi,MS,20.1,34
Missouri,MO,28.1,30.5
Montana,MT,25.5,23
Nebraska,NE,24.8,26.9
Nevada,NV,24.5,22.4
New Hampshire,NH,35.4,25
New Jersey,NJ,34.6,23.8
New Mexico,NM,25.1,25.1
New York,NY,30.6,23.9
North Carolina,NC,23.4,27.8
North Dakota,ND,25.2,27.2
Ohio,OH,24.6,29.2
Oklahoma,OK,22.9,30.4
Oregon,OR,25.9,26.8
Pennsylvania,PA,25.3,28.6
Rhode Island,RI,27.2,25.5
South Carolina,SC,24.9,31.5
South Dakota,SD,25.5,27.3
Tennessee,TN,24.3,30.8
Texas,TX,24.5,31
Utah,UT,30.8,22.5
Vermont,VA,34.2,23.2
Virginia,VT,33.1,26
Washington,WA,29.9,25.5
West Virginia,WV,15.3,32.5
Wisconsin,WI,25.6,26.3
Wyoming,WY,22.5,25.1
Average,AVG,27.174509804,26.990196078
