Country Code,Country Name,Year,Health Expenditure,Life Expectancy,Number of Records
AUS,Australia,1971,223.592,71.068292683,1
AUS,Australia,1972,239.1784,71.457560976,1
AUS,Australia,1973,264.0303,71.846829268,1
AUS,Australia,1974,322.3286,72.236097561,1
AUS,Australia,1975,401.8512,72.625365854,1
AUS,Australia,1976,430.061,73.014634146,1
AUS,Australia,1977,472.8991,73.344390244,1
AUS,Australia,1978,510.7161,73.674146341,1
AUS,Australia,1979,554.7626,74.003902439,1
AUS,Australia,1980,615.7256,74.333658537,1
AUS,Australia,1981,697.3706,74.663414634,1
AUS,Australia,1982,731.9027,74.904878049,1
AUS,Australia,1983,773.4711,75.146341463,1
AUS,Australia,1984,817.2866,75.387804878,1
AUS,Australia,1985,881.2391,75.629268293,1
AUS,Australia,1986,941.1635,75.870731707,1
AUS,Australia,1987,981.6215,76.151707317,1
AUS,Australia,1988,1039.8854,76.432682927,1
AUS,Australia,1989,1091.3294,76.713658537,1
AUS,Australia,1990,1154.0445,76.994634146,1
AUS,Australia,1991,1229.3906,77.275609756,1
AUS,Australia,1992,1307.222,77.378048780,1
AUS,Australia,1993,1381.1135,77.878048780,1
AUS,Australia,1994,1470.8096,77.878048780,1
AUS,Australia,1995,1554.7982,77.829268293,1
AUS,Australia,1996,1645.0156,78.078048780,1
AUS,Australia,1997,1730.7444,78.480487805,1
AUS,Australia,1998,1858.2922,78.631707317,1
AUS,Australia,1999,1986.4928,78.931707317,1
AUS,Australia,2000,2156.808,79.234146341,1
AUS,Australia,2001,2271.4553,79.634146341,1
AUS,Australia,2002,2426.4793,79.936585366,1
AUS,Australia,2003,2546.2803,80.239024390,1
AUS,Australia,2004,2745.6316,80.490243902,1
AUS,Australia,2005,2842.1321,80.841463415,1
AUS,Australia,2006,3023.0978,81.041463415,1
AUS,Australia,2007,3196.226,81.292682927,1
AUS,Australia,2008,3310.1708,81.395121951,1
AUS,Australia,2009,3564.4049,81.543902439,1
AUS,Australia,2010,3607.3407,81.695121951,1
AUS,Australia,2011,3794.0874,81.895121951,1
AUS,Australia,2012,3807.6819,82.046341463,1
AUS,Australia,2013,4176.853,82.148780488,1
AUS,Australia,2014,4206.8516,82.251219512,1
AUT,Austria,1970,186.3145,69.914634146,1
AUT,Austria,1971,201.9619,70.114634146,1
AUT,Austria,1972,222.2858,70.463414634,1
AUT,Austria,1973,249.2017,71.014634146,1
AUT,Austria,1974,295.0659,71.012195122,1
AUT,Austria,1975,412.0627,71.114634146,1
AUT,Austria,1976,471.7179,71.565853659,1
AUT,Austria,1977,521.641,71.914634146,1
AUT,Austria,1978,579.8399,72.012195122,1
AUT,Austria,1979,660.0909,72.312195122,1
AUT,Austria,1980,742.5189,72.463414634,1
AUT,Austria,1981,693.6662,72.812195122,1
AUT,Austria,1982,747.8722,72.960975610,1
AUT,Austria,1983,779.4923,73.012195122,1
AUT,Austria,1984,814.0641,73.612195122,1
AUT,Austria,1985,879.5659,73.814634146,1
AUT,Austria,1986,933.7634,74.317073171,1
AUT,Austria,1987,1015.9254,74.768292683,1
AUT,Austria,1988,1083.2472,75.217073171,1
AUT,Austria,1989,1189.9067,75.265853659,1
AUT,Austria,1990,1507.933,75.568292683,1
AUT,Austria,1991,1608.9806,75.617073171,1
AUT,Austria,1992,1724.7343,75.817073171,1
AUT,Austria,1993,1874.6122,76.068292683,1
AUT,Austria,1994,2041.3374,76.419512195,1
AUT,Austria,1995,2120.4786,76.668292683,1
