Company Name,Company Name (Full),Growth Group,Segment,Ticker,Year,Year Founded,Net Income (2008),Revenue (2008),Revenue (Inflation Adjusted)
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1993,1993,13.58,130.99,0
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1993,1993,55.98,455.7,0
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1994,1993,13.58,130.99,
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1994,1993,55.98,455.7,0.6535
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1995,1993,13.58,130.99,0.0308
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1995,1993,55.98,455.7,0.8246
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1996,1993,13.58,130.99,0.8854
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1996,1993,55.98,455.7,2.8016
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1997,1993,13.58,130.99,12.7541
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1997,1993,55.98,455.7,16.214
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1998,1993,13.58,130.99,28.871
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1998,1993,55.98,455.7,38.016
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,1999,1993,13.58,130.99,59.8797
Informatica,Informatica Corporation,Hot Company,Business Intelligence,INFA,1999,1993,55.98,455.7,79.872
Actuate,Actuate Corporation,Hot Company,Business Intelligence,ACTU,2002,1993,13.58,130.99,129.948
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1989,1989,41.77,360.39,0
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1990,1989,41.77,360.39,
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1991,1989,41.77,360.39,
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1992,1989,41.77,360.39,
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1993,1989,41.77,360.39,6.0299
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1994,1989,41.77,360.39,7.1214
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1995,1989,41.77,360.39,13.6878
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1996,1989,41.77,360.39,30.7401
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1997,1989,41.77,360.39,71.7664
MicroStrategy,MicroStrategy Incorporated,Hot Company,Business Intelligence,MSTR,1998,1989,41.77,360.39,140.448
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1985,1985,79.7,1070.33,0
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1986,1985,79.7,1070.33,
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1987,1985,79.7,1070.33,
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1988,1985,79.7,1070.33,5.76
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1989,1985,79.7,1070.33,18.92
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1990,1985,79.7,1070.33,41.402
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1991,1985,79.7,1070.33,69.732
Parametric,Parametric Technology,Hot Company,CAD / EDA,PMTC,1992,1985,79.7,1070.33,131.784
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1992,1992,-30.07,868.46,0
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1993,1992,-30.07,868.46,
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1994,1992,-30.07,868.46,
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1995,1992,-30.07,868.46,
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1996,1992,-30.07,868.46,2.0373
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1997,1992,-30.07,868.46,5.8719
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1998,1992,-30.07,868.46,15.6803
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,1999,1992,-30.07,868.46,25.0458
Nuance,Nuance Communications Inc.,Hot Company,Communications,NUAN,2000,1992,-30.07,868.46,64.232
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1991,1991,53.01,725.53,0.3058
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1994,1994,63.6,394.23,0
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1992,1991,53.01,725.53,2.584
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1995,1994,63.6,394.23,
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1993,1991,53.01,725.53,2.352
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1996,1994,63.6,394.23,0.1292
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1994,1991,53.01,725.53,3.289
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1997,1994,63.6,394.23,0.5628
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1995,1991,53.01,725.53,4.76
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1998,1994,63.6,394.23,4.488
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1996,1991,53.01,725.53,13.6
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,1999,1994,63.6,394.23,18.56
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1997,1991,53.01,725.53,30.284
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,2000,1994,63.6,394.23,38.564
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1998,1991,53.01,725.53,59.796
Digital River,"Digital River, Inc.",Hot Company,Content Management,DRIV,2001,1994,63.6,394.23,70.516
Open Text,Open Text Corporation (USA),Hot Company,Content Management,OTEX,1999,1991,53.01,725.53,118.4
Art Technology,"Art Technology Group, Inc.",Hot Company,CRM,ARTG,1991,1991,3.8,164.64,0
DemandTec,"DemandTec, Inc.",Hot Company,CRM,DMAN,1999,1999,-4.49,61.27,0
