Cancer Type,Gender,Race,Year,Survival Rate
All cancers,females,All races,1977,0.559
All cancers,females,All races,1980,0.55
All cancers,females,All races,1983,0.551
All cancers,females,All races,1986,0.576
All cancers,females,All races,1989,0.596
All cancers,females,All races,1992,0.609
All cancers,females,All races,1995,0.618
All cancers,females,All races,1998,0.636
All cancers,females,All races,2001,0.657
All cancers,females,All races,2006,0.669
All cancers,females,All races,2013,0.691
All cancers,males,All races,1977,0.417
All cancers,males,All races,1980,0.431
All cancers,males,All races,1983,0.452
All cancers,males,All races,1986,0.472
All cancers,males,All races,1989,0.511
All cancers,males,All races,1992,0.591
All cancers,males,All races,1995,0.608
All cancers,males,All races,1998,0.63
All cancers,males,All races,2001,0.663
All cancers,males,All races,2006,0.681
All cancers,males,All races,2013,0.692
All cancers,total,All races,1977,0.489
All cancers,total,All races,1980,0.49
All cancers,total,All races,1983,0.502
All cancers,total,All races,1986,0.524
All cancers,total,All races,1989,0.553
All cancers,total,All races,1992,0.599
All cancers,total,All races,1995,0.613
All cancers,total,All races,1998,0.633
All cancers,total,All races,2001,0.66
All cancers,total,All races,2006,0.675
All cancers,total,All races,2013,0.692
All cancers,females,Black,1977,0.462
All cancers,females,Black,1980,0.456
All cancers,females,Black,1983,0.444
All cancers,females,Black,1986,0.455
All cancers,females,Black,1989,0.477
All cancers,females,Black,1992,0.482
All cancers,females,Black,1995,0.506
All cancers,females,Black,1998,0.521
All cancers,females,Black,2001,0.543
All cancers,females,Black,2006,0.558
All cancers,females,Black,2013,0.603
All cancers,males,Black,1977,0.327
All cancers,males,Black,1980,0.333
All cancers,males,Black,1983,0.342
All cancers,males,Black,1986,0.355
All cancers,males,Black,1989,0.389
All cancers,males,Black,1992,0.476
All cancers,males,Black,1995,0.545
All cancers,males,Black,1998,0.579
All cancers,males,Black,2001,0.611
All cancers,males,Black,2006,0.636
All cancers,males,Black,2013,0.659
All cancers,total,Black,1963,0.27
All cancers,total,Black,1973,0.31
All cancers,total,Black,1977,0.39
All cancers,total,Black,1980,0.39
All cancers,total,Black,1983,0.388
All cancers,total,Black,1986,0.402
All cancers,total,Black,1989,0.43
All cancers,total,Black,1992,0.479
All cancers,total,Black,1995,0.528
All cancers,total,Black,1998,0.552
All cancers,total,Black,2001,0.58
All cancers,total,Black,2006,0.599
All cancers,total,Black,2013,0.633
All cancers,females,White,1977,0.565
All cancers,females,White,1980,0.556
All cancers,females,White,1983,0.56
All cancers,females,White,1986,0.586
All cancers,females,White,1989,0.606
All cancers,females,White,1992,0.621
All cancers,females,White,1995,0.628
All cancers,females,White,1998,0.647
All cancers,females,White,2001,0.668
All cancers,females,White,2006,0.682
All cancers,females,White,2013,0.701
All cancers,males,White,1977,0.427
All cancers,males,White,1980,0.443
All cancers,males,White,1983,0.466
All cancers,males,White,1986,0.486
All cancers,males,White,1989,0.528
All cancers,males,White,1992,0.608
All cancers,males,White,1995,0.62
All cancers,males,White,1998,0.641
All cancers,males,White,2001,0.675
All cancers,males,White,2006,0.694
All cancers,males,White,2013,0.701
All cancers,total,White,1963,0.39
All cancers,total,White,1973,0.43
All cancers,total,White,1977,0.498
All cancers,total,White,1980,0.5
All cancers,total,White,1983,0.513
All cancers,total,White,1986,0.536
All cancers,total,White,1989,0.567
All cancers,total,White,1992,0.614
All cancers,total,White,1995,0.624
All cancers,total,White,1998,0.644
All cancers,total,White,2001,0.672
All cancers,total,White,2006,0.688
All cancers,total,White,2013,0.701
Bladder,females,All races,1977,0.683
Bladder,females,All races,1980,0.704
Bladder,females,All races,1983,0.727
Bladder,females,All races,1986,0.727
Bladder,females,All races,1989,0.719
Bladder,females,All races,1992,0.719
Bladder,females,All races,1995,0.75
Bladder,females,All races,1998,0.754
Bladder,females,All races,2001,0.773
Bladder,females,All races,2006,0.748
Bladder,females,All races,2013,0.744
Bladder,males,All races,1977,0.737
Bladder,males,All races,1980,0.751
Bladder,males,All races,1983,0.781
Bladder,males,All races,1986,0.781
Bladder,males,All races,1989,0.813
Bladder,males,All races,1992,0.817
Bladder,males,All races,1995,0.821
Bladder,males,All races,1998,0.804
Bladder,males,All races,2001,0.809
Bladder,males,All races,2006,0.819
Bladder,males,All races,2013,0.792
Bladder,total,All races,1977,0.723
Bladder,total,All races,1980,0.739
Bladder,total,All races,1983,0.767
Bladder,total,All races,1986,0.767
Bladder,total,All races,1989,0.79
Bladder,total,All races,1992,0.792
Bladder,total,All races,1995,0.802
Bladder,total,All races,1998,0.791
Bladder,total,All races,2001,0.8
Bladder,total,All races,2006,0.801
Bladder,total,All races,2013,0.78
Bladder,females,Black,1963,0.24
Bladder,females,Black,1973,0.27
Bladder,females,Black,1977,0.381
Bladder,females,Black,1980,0.401
Bladder,females,Black,1983,0.47
Bladder,females,Black,1986,0.528
Bladder,females,Black,1989,0.529
Bladder,females,Black,1992,0.585
Bladder,females,Black,1995,0.462
Bladder,females,Black,1998,0.56
Bladder,females,Black,2001,0.6
Bladder,females,Black,2006,0.558
Bladder,females,Black,2013,0.562
Bladder,males,Black,1963,0.24
Bladder,males,Black,1973,0.38
Bladder,males,Black,1977,0.565
Bladder,males,Black,1980,0.626
Bladder,males,Black,1983,0.649
Bladder,males,Black,1986,0.623
Bladder,males,Black,1989,0.675
Bladder,males,Black,1992,0.657
Bladder,males,Black,1995,0.678
Bladder,males,Black,1998,0.656
Bladder,males,Black,2001,0.718
Bladder,males,Black,2006,0.683
Bladder,males,Black,2013,0.7
Bladder,total,Black,1963,0.24
Bladder,total,Black,1973,0.36
Bladder,total,Black,1977,0.503
Bladder,total,Black,1980,0.545
Bladder,total,Black,1983,0.595
Bladder,total,Black,1986,0.594
Bladder,total,Black,1989,0.626
Bladder,total,Black,1992,0.631
Bladder,total,Black,1995,0.606
Bladder,total,Black,1998,0.627
Bladder,total,Black,2001,0.675
Bladder,total,Black,2006,0.638
Bladder,total,Black,2013,0.654
Bladder,females,White,1963,0.53
Bladder,females,White,1973,0.6
